bsr,basin,bsr_crosswalk_status,species,life_stage,fish_use_rating,corrected_score,species_aggregate_score,fish_use_score,rank,fish_use_score_100,fish_use_score_decimal
CC1,Catherine Creek,provisional_positional,Chinook,Spawning,0,0,0.77,1.722,16,41.62,0.4162
CC1,Catherine Creek,provisional_positional,Chinook,Winter Rearing,1,0.9,0.77,1.722,16,41.62,0.4162
CC1,Catherine Creek,provisional_positional,Chinook,Summer Rearing,0,0,0.77,1.722,16,41.62,0.4162
CC1,Catherine Creek,provisional_positional,Chinook,Migration,0.34,1.92,0.77,1.722,16,41.62,0.4162
CC1,Catherine Creek,provisional_positional,Steelhead,Spawning,0,0,0.58,1.722,16,41.62,0.4162
CC1,Catherine Creek,provisional_positional,Steelhead,Winter Rearing,0.33,0.37,0.58,1.722,16,41.62,0.4162
CC1,Catherine Creek,provisional_positional,Steelhead,Summer Rearing,0,0,0.58,1.722,16,41.62,0.4162
CC1,Catherine Creek,provisional_positional,Steelhead,Migration,0.17,1.94,0.58,1.722,16,41.62,0.4162
CC1,Catherine Creek,provisional_positional,Bull Trout,Spawning & Resident,0,0,0.37,1.722,16,41.62,0.4162
CC1,Catherine Creek,provisional_positional,Bull Trout,FMO,0.67,0.93,0.37,1.722,16,41.62,0.4162
CC2,Catherine Creek,provisional_positional,Chinook,Spawning,0,0,0.46,1.16,21,28.03,0.2803
CC2,Catherine Creek,provisional_positional,Chinook,Winter Rearing,1,0.9,0.46,1.16,21,28.03,0.2803
CC2,Catherine Creek,provisional_positional,Chinook,Summer Rearing,0,0,0.46,1.16,21,28.03,0.2803
CC2,Catherine Creek,provisional_positional,Chinook,Migration,0.15,0.88,0.46,1.16,21,28.03,0.2803
CC2,Catherine Creek,provisional_positional,Steelhead,Spawning,0,0,0.33,1.16,21,28.03,0.2803
CC2,Catherine Creek,provisional_positional,Steelhead,Winter Rearing,0.33,0.37,0.33,1.16,21,28.03,0.2803
CC2,Catherine Creek,provisional_positional,Steelhead,Summer Rearing,0,0,0.33,1.16,21,28.03,0.2803
CC2,Catherine Creek,provisional_positional,Steelhead,Migration,0.08,0.96,0.33,1.16,21,28.03,0.2803
CC2,Catherine Creek,provisional_positional,Bull Trout,Spawning & Resident,0,0,0.37,1.16,21,28.03,0.2803
CC2,Catherine Creek,provisional_positional,Bull Trout,FMO,0.67,0.93,0.37,1.16,21,28.03,0.2803
CC3,Catherine Creek,provisional_positional,Chinook,Spawning,0,0,0.12,0.712,28,17.22,0.1722
CC3,Catherine Creek,provisional_positional,Chinook,Winter Rearing,0.33,0.3,0.12,0.712,28,17.22,0.1722
CC3,Catherine Creek,provisional_positional,Chinook,Summer Rearing,0,0,0.12,0.712,28,17.22,0.1722
CC3,Catherine Creek,provisional_positional,Chinook,Migration,0.04,0.2,0.12,0.712,28,17.22,0.1722
CC3,Catherine Creek,provisional_positional,Steelhead,Spawning,0.67,0.71,0.59,0.712,28,17.22,0.1722
CC3,Catherine Creek,provisional_positional,Steelhead,Winter Rearing,0.67,0.75,0.59,0.712,28,17.22,0.1722
CC3,Catherine Creek,provisional_positional,Steelhead,Summer Rearing,0.33,0.35,0.59,0.712,28,17.22,0.1722
CC3,Catherine Creek,provisional_positional,Steelhead,Migration,0.05,0.54,0.59,0.712,28,17.22,0.1722
CC3,Catherine Creek,provisional_positional,Bull Trout,Spawning & Resident,0,0,0,0.712,28,17.22,0.1722
CC3,Catherine Creek,provisional_positional,Bull Trout,FMO,0,0,0,0.712,28,17.22,0.1722
CC4,Catherine Creek,provisional_positional,Chinook,Spawning,0,0,0.3,1.048,23,25.32,0.2532
CC4,Catherine Creek,provisional_positional,Chinook,Winter Rearing,0.33,0.3,0.3,1.048,23,25.32,0.2532
CC4,Catherine Creek,provisional_positional,Chinook,Summer Rearing,0.33,0.5,0.3,1.048,23,25.32,0.2532
CC4,Catherine Creek,provisional_positional,Chinook,Migration,0.03,0.2,0.3,1.048,23,25.32,0.2532
CC4,Catherine Creek,provisional_positional,Steelhead,Spawning,1,1.06,0.75,1.048,23,25.32,0.2532
CC4,Catherine Creek,provisional_positional,Steelhead,Winter Rearing,0.67,0.75,0.75,1.048,23,25.32,0.2532
CC4,Catherine Creek,provisional_positional,Steelhead,Summer Rearing,1,1.06,0.75,1.048,23,25.32,0.2532
CC4,Catherine Creek,provisional_positional,Steelhead,Migration,0.01,0.11,0.75,1.048,23,25.32,0.2532
CC4,Catherine Creek,provisional_positional,Bull Trout,Spawning & Resident,0,0,0,1.048,23,25.32,0.2532
CC4,Catherine Creek,provisional_positional,Bull Trout,FMO,0,0,0,1.048,23,25.32,0.2532
CC5,Catherine Creek,provisional_positional,Chinook,Spawning,0.33,0.74,0.93,1.929,14,46.63,0.4663
CC5,Catherine Creek,provisional_positional,Chinook,Winter Rearing,1,0.9,0.93,1.929,14,46.63,0.4663
CC5,Catherine Creek,provisional_positional,Chinook,Summer Rearing,0.67,1.01,0.93,1.929,14,46.63,0.4663
CC5,Catherine Creek,provisional_positional,Chinook,Migration,0.16,0.92,0.93,1.929,14,46.63,0.4663
CC5,Catherine Creek,provisional_positional,Steelhead,Spawning,0.67,0.71,0.63,1.929,14,46.63,0.4663
CC5,Catherine Creek,provisional_positional,Steelhead,Winter Rearing,0.33,0.37,0.63,1.929,14,46.63,0.4663
CC5,Catherine Creek,provisional_positional,Steelhead,Summer Rearing,0.67,0.71,0.63,1.929,14,46.63,0.4663
CC5,Catherine Creek,provisional_positional,Steelhead,Migration,0.06,0.74,0.63,1.929,14,46.63,0.4663
CC5,Catherine Creek,provisional_positional,Bull Trout,Spawning & Resident,0,0,0.37,1.929,14,46.63,0.4663
CC5,Catherine Creek,provisional_positional,Bull Trout,FMO,0.67,0.93,0.37,1.929,14,46.63,0.4663
CC6,Catherine Creek,provisional_positional,Chinook,Spawning,1,2.26,1.26,2.619,10,63.29,0.6329
CC6,Catherine Creek,provisional_positional,Chinook,Winter Rearing,1,0.9,1.26,2.619,10,63.29,0.6329
CC6,Catherine Creek,provisional_positional,Chinook,Summer Rearing,1,1.5,1.26,2.619,10,63.29,0.6329
CC6,Catherine Creek,provisional_positional,Chinook,Migration,0.15,0.83,1.26,2.619,10,63.29,0.6329
CC6,Catherine Creek,provisional_positional,Steelhead,Spawning,0.33,0.35,0.81,2.619,10,63.29,0.6329
CC6,Catherine Creek,provisional_positional,Steelhead,Winter Rearing,1,1.13,0.81,2.619,10,63.29,0.6329
CC6,Catherine Creek,provisional_positional,Steelhead,Summer Rearing,1,1.06,0.81,2.619,10,63.29,0.6329
