bsr,limiting_factor,n,mean_r,median_r,geo_mean_r,sd_r,var_r,iqr_r,min_r,max_r,range_r,flag_spread,flag_low_n,any_flag,lf_condition_score_raw_1_5,lf_condition_score,condition_transformation
CC1,Riparian Condition,5,4.6,5,4.573050519,0.547722558,0.3,1,4,5,1,FALSE,FALSE,FALSE,4.57,0.90325,Raw suggested score mapped linearly from 1-5 to 0.10-1.00
CC1,Floodplain Condition,5,4.8,5,4.781762499,0.447213595,0.2,0,4,5,1,FALSE,FALSE,FALSE,4.78,0.9505,Raw suggested score mapped linearly from 1-5 to 0.10-1.00
CC1,Side Channel and Wetland Habitat,5,4.2,5,4.075965548,1.095445115,1.2,2,3,5,2,TRUE,FALSE,TRUE,4.08,0.793,Raw suggested score mapped linearly from 1-5 to 0.10-1.00
CC1,Channel and Habitat Structure,5,4.6,5,4.573050519,0.547722558,0.3,1,4,5,1,FALSE,FALSE,FALSE,4.57,0.90325,Raw suggested score mapped linearly from 1-5 to 0.10-1.00
CC1,Decreased Sediment Quantity,5,3.4,3,2.954176939,1.673320053,2.8,2,1,5,4,TRUE,FALSE,TRUE,2.95,0.53875,Raw suggested score mapped linearly from 1-5 to 0.10-1.00
CC1,Increased Sediment Quantity,5,4.6,5,4.514402257,0.894427191,0.8,0,3,5,2,FALSE,FALSE,FALSE,4.51,0.88975,Raw suggested score mapped linearly from 1-5 to 0.10-1.00
CC1,Anthropogenic Barriers,3,4,5,3.684031499,1.732050808,3,1.5,2,5,3,FALSE,FALSE,FALSE,3.68,0.703,Raw suggested score mapped linearly from 1-5 to 0.10-1.00
CC1,Predation,3,4.333333333,5,4.217163327,1.154700538,1.333333333,1,3,5,2,FALSE,FALSE,FALSE,4.22,0.8245,Raw suggested score mapped linearly from 1-5 to 0.10-1.00
CC1,Altered Primary Productivity,3,4.333333333,4,4.30886938,0.577350269,0.333333333,0.5,4,5,1,FALSE,FALSE,FALSE,4.31,0.84475,Raw suggested score mapped linearly from 1-5 to 0.10-1.00
CC1,Non-Native Species Interactions and Competition,3,4.666666667,5,4.641588834,0.577350269,0.333333333,0.5,4,5,1,FALSE,FALSE,FALSE,4.64,0.919,Raw suggested score mapped linearly from 1-5 to 0.10-1.00
CC1,Decreased Water Quantity,3,5,5,5,0,0,0,5,5,0,FALSE,FALSE,FALSE,5,1,Raw suggested score mapped linearly from 1-5 to 0.10-1.00
CC1,Altered Flow Timing,3,4.333333333,4,4.30886938,0.577350269,0.333333333,0.5,4,5,1,FALSE,FALSE,FALSE,4.31,0.84475,Raw suggested score mapped linearly from 1-5 to 0.10-1.00
CC1,Summer Water Temperature,3,4.666666667,5,4.641588834,0.577350269,0.333333333,0.5,4,5,1,FALSE,FALSE,FALSE,4.64,0.919,Raw suggested score mapped linearly from 1-5 to 0.10-1.00
CC1,Winter Water Temperature,3,4,4,3.914867641,1,1,1,3,5,2,FALSE,FALSE,FALSE,3.91,0.75475,Raw suggested score mapped linearly from 1-5 to 0.10-1.00
CC1,Water Quality,3,5,5,5,0,0,0,5,5,0,FALSE,FALSE,FALSE,5,1,Raw suggested score mapped linearly from 1-5 to 0.10-1.00
CC2,Riparian Condition,5,3.6,4,3.437543855,1.140175425,1.3,1,2,5,3,FALSE,FALSE,FALSE,3.44,0.649,Raw suggested score mapped linearly from 1-5 to 0.10-1.00
CC2,Floodplain Condition,5,4,4,3.948700972,0.707106781,0.5,0,3,5,2,FALSE,FALSE,FALSE,3.95,0.76375,Raw suggested score mapped linearly from 1-5 to 0.10-1.00
CC2,Side Channel and Wetland Habitat,5,4.4,4,4.373448296,0.547722558,0.3,1,4,5,1,FALSE,FALSE,FALSE,4.37,0.85825,Raw suggested score mapped linearly from 1-5 to 0.10-1.00
CC2,Channel and Habitat Structure,5,4.4,4,4.373448296,0.547722558,0.3,1,4,5,1,FALSE,FALSE,FALSE,4.37,0.85825,Raw suggested score mapped linearly from 1-5 to 0.10-1.00
CC2,Decreased Sediment Quantity,5,2.8,3,2.491461879,1.303840481,1.7,2,1,4,3,TRUE,FALSE,TRUE,2.49,0.43525,Raw suggested score mapped linearly from 1-5 to 0.10-1.00
CC2,Increased Sediment Quantity,5,4.4,5,4.317359884,0.894427191,0.8,1,3,5,2,FALSE,FALSE,FALSE,4.32,0.847,Raw suggested score mapped linearly from 1-5 to 0.10-1.00
CC2,Anthropogenic Barriers,3,4.666666667,5,4.641588834,0.577350269,0.333333333,0.5,4,5,1,FALSE,FALSE,FALSE,4.64,0.919,Raw suggested score mapped linearly from 1-5 to 0.10-1.00
CC2,Predation,3,4.333333333,5,4.217163327,1.154700538,1.333333333,1,3,5,2,FALSE,FALSE,FALSE,4.22,0.8245,Raw suggested score mapped linearly from 1-5 to 0.10-1.00
CC2,Altered Primary Productivity,3,4.333333333,4,4.30886938,0.577350269,0.333333333,0.5,4,5,1,FALSE,FALSE,FALSE,4.31,0.84475,Raw suggested score mapped linearly from 1-5 to 0.10-1.00
CC2,Non-Native Species Interactions and Competition,3,4,4,3.914867641,1,1,1,3,5,2,FALSE,FALSE,FALSE,3.91,0.75475,Raw suggested score mapped linearly from 1-5 to 0.10-1.00
CC2,Decreased Water Quantity,3,4.333333333,4,4.30886938,0.577350269,0.333333333,0.5,4,5,1,FALSE,FALSE,FALSE,4.31,0.84475,Raw suggested score mapped linearly from 1-5 to 0.10-1.00
CC2,Altered Flow Timing,3,4.333333333,4,4.30886938,0.577350269,0.333333333,0.5,4,5,1,FALSE,FALSE,FALSE,4.31,0.84475,Raw suggested score mapped linearly from 1-5 to 0.10-1.00
CC2,Summer Water Temperature,3,3.666666667,4,3.419951893,1.527525232,2.333333333,1.5,2,5,3,FALSE,FALSE,FALSE,3.42,0.6445,Raw suggested score mapped linearly from 1-5 to 0.10-1.00
