BSR,LF,n,mean_r,median_r,geo_mean_r,sd_r,var_r,iqr_r,min_r,max_r,range_r,flag_spread,flag_low_n,any_flag,suggested
CC1,Riparian Cond.,5,4.6,5,4.573050519,0.547722558,0.3,1,4,5,1,FALSE,FALSE,FALSE,4.57
CC1,Floodplain Cond.,5,4.8,5,4.781762499,0.447213595,0.2,0,4,5,1,FALSE,FALSE,FALSE,4.78
CC1,Side Channel/Wetland,5,4.2,5,4.075965548,1.095445115,1.2,2,3,5,2,TRUE,FALSE,TRUE,4.08
CC1,Habitat Complexity,5,4.6,5,4.573050519,0.547722558,0.3,1,4,5,1,FALSE,FALSE,FALSE,4.57
CC1,Decr. Sediment,5,3.4,3,2.954176939,1.673320053,2.8,2,1,5,4,TRUE,FALSE,TRUE,2.95
CC1,Incr. Sediment,5,4.6,5,4.514402257,0.894427191,0.8,0,3,5,2,FALSE,FALSE,FALSE,4.51
CC1,Barriers,3,4,5,3.684031499,1.732050808,3,1.5,2,5,3,FALSE,FALSE,FALSE,3.68
CC1,Predation,3,4.333333333,5,4.217163327,1.154700538,1.333333333,1,3,5,2,FALSE,FALSE,FALSE,4.22
CC1,Primary Prod.,3,4.333333333,4,4.30886938,0.577350269,0.333333333,0.5,4,5,1,FALSE,FALSE,FALSE,4.31
CC1,Non-Native/Competition,3,4.666666667,5,4.641588834,0.577350269,0.333333333,0.5,4,5,1,FALSE,FALSE,FALSE,4.64
CC1,Decr. Water Quant.,3,5,5,5,0,0,0,5,5,0,FALSE,FALSE,FALSE,5
CC1,Altered Q Timing,3,4.333333333,4,4.30886938,0.577350269,0.333333333,0.5,4,5,1,FALSE,FALSE,FALSE,4.31
CC1,Summer Temp,3,4.666666667,5,4.641588834,0.577350269,0.333333333,0.5,4,5,1,FALSE,FALSE,FALSE,4.64
CC1,Winter Temp.,3,4,4,3.914867641,1,1,1,3,5,2,FALSE,FALSE,FALSE,3.91
CC1,Water Quality,3,5,5,5,0,0,0,5,5,0,FALSE,FALSE,FALSE,5
CC2,Riparian Cond.,5,3.6,4,3.437543855,1.140175425,1.3,1,2,5,3,FALSE,FALSE,FALSE,3.44
CC2,Floodplain Cond.,5,4,4,3.948700972,0.707106781,0.5,0,3,5,2,FALSE,FALSE,FALSE,3.95
CC2,Side Channel/Wetland,5,4.4,4,4.373448296,0.547722558,0.3,1,4,5,1,FALSE,FALSE,FALSE,4.37
CC2,Habitat Complexity,5,4.4,4,4.373448296,0.547722558,0.3,1,4,5,1,FALSE,FALSE,FALSE,4.37
CC2,Decr. Sediment,5,2.8,3,2.491461879,1.303840481,1.7,2,1,4,3,TRUE,FALSE,TRUE,2.49
CC2,Incr. Sediment,5,4.4,5,4.317359884,0.894427191,0.8,1,3,5,2,FALSE,FALSE,FALSE,4.32
CC2,Barriers,3,4.666666667,5,4.641588834,0.577350269,0.333333333,0.5,4,5,1,FALSE,FALSE,FALSE,4.64
CC2,Predation,3,4.333333333,5,4.217163327,1.154700538,1.333333333,1,3,5,2,FALSE,FALSE,FALSE,4.22
CC2,Primary Prod.,3,4.333333333,4,4.30886938,0.577350269,0.333333333,0.5,4,5,1,FALSE,FALSE,FALSE,4.31
CC2,Non-Native/Competition,3,4,4,3.914867641,1,1,1,3,5,2,FALSE,FALSE,FALSE,3.91
CC2,Decr. Water Quant.,3,4.333333333,4,4.30886938,0.577350269,0.333333333,0.5,4,5,1,FALSE,FALSE,FALSE,4.31
CC2,Altered Q Timing,3,4.333333333,4,4.30886938,0.577350269,0.333333333,0.5,4,5,1,FALSE,FALSE,FALSE,4.31
CC2,Summer Temp,3,3.666666667,4,3.419951893,1.527525232,2.333333333,1.5,2,5,3,FALSE,FALSE,FALSE,3.42
CC2,Winter Temp.,3,4,4,3.914867641,1,1,1,3,5,2,FALSE,FALSE,FALSE,3.91
CC2,Water Quality,3,4.666666667,5,4.641588834,0.577350269,0.333333333,0.5,4,5,1,FALSE,FALSE,FALSE,4.64
CC3,Riparian Cond.,5,2.8,3,2.491461879,1.303840481,1.7,2,1,4,3,TRUE,FALSE,TRUE,2.49
CC3,Floodplain Cond.,5,2.6,3,2.352158045,1.140175425,1.3,1,1,4,3,FALSE,FALSE,FALSE,2.35
CC3,Side Channel/Wetland,5,3.2,3,2.724069927,1.788854382,3.2,3,1,5,4,TRUE,FALSE,TRUE,2.72
