limiting_factor,summed_action_weight,positive_weight_actions,listed_actions
Summer Water Temperature,3.63,11,11
Floodplain Condition,3.62,11,11
Side Channel and Wetland Habitat,3.59,11,11
Riparian Condition,3.08,11,11
Altered Primary Productivity,3.06,11,11
Water Quality,2.79,11,11
Channel and Habitat Structure,2.56,11,11
Increased Sediment Quantity,2.54,11,11
Winter Water Temperature,1.9100000000000001,11,11
Decreased Water Quantity,1.86,11,11
Decreased Sediment Quantity,1.86,11,11
Altered Flow Timing,1.64,11,11
Anthropogenic Barriers,1.58,11,11
Predation,1.5,11,11
Non-Native Species Interactions and Competition,1.5,11,11
