bsr,basin,bsr_crosswalk_status,bsr_match_review_required,input_review_status
CC1,Catherine Creek,provisional_positional,True,Provisional: BSR correspondence requires review
CC2,Catherine Creek,provisional_positional,True,Provisional: BSR correspondence requires review
CC3,Catherine Creek,provisional_positional,True,Provisional: BSR correspondence requires review
CC4,Catherine Creek,provisional_positional,True,Provisional: BSR correspondence requires review
CC5,Catherine Creek,provisional_positional,True,Provisional: BSR correspondence requires review
CC6,Catherine Creek,provisional_positional,True,Provisional: BSR correspondence requires review
CC7,Catherine Creek,provisional_positional,True,Provisional: BSR correspondence requires review
CC8,Catherine Creek,provisional_positional,True,Provisional: BSR correspondence requires review
CC9,Catherine Creek,provisional_positional,True,Provisional: BSR correspondence requires review
UGR1,Upper Grande Ronde,exact_identifier,False,Exact BSR identifier
UGR10,Upper Grande Ronde,exact_identifier,False,Exact BSR identifier
UGR11,Upper Grande Ronde,exact_identifier,False,Exact BSR identifier
UGR12,Upper Grande Ronde,exact_identifier,False,Exact BSR identifier
UGR13,Upper Grande Ronde,exact_identifier,False,Exact BSR identifier
UGR14,Upper Grande Ronde,exact_identifier,False,Exact BSR identifier
UGR15,Upper Grande Ronde,exact_identifier,False,Exact BSR identifier
UGR16,Upper Grande Ronde,exact_identifier,False,Exact BSR identifier
UGR17,Upper Grande Ronde,exact_identifier,False,Exact BSR identifier
UGR18,Upper Grande Ronde,exact_identifier,False,Exact BSR identifier
UGR19,Upper Grande Ronde,exact_identifier,False,Exact BSR identifier
UGR2,Upper Grande Ronde,exact_identifier,False,Exact BSR identifier
UGR20,Upper Grande Ronde,exact_identifier,False,Exact BSR identifier
UGR3,Upper Grande Ronde,exact_identifier,False,Exact BSR identifier
UGR4,Upper Grande Ronde,exact_identifier,False,Exact BSR identifier
UGR5,Upper Grande Ronde,exact_identifier,False,Exact BSR identifier
UGR6,Upper Grande Ronde,exact_identifier,False,Exact BSR identifier
UGR7,Upper Grande Ronde,exact_identifier,False,Exact BSR identifier
UGR8,Upper Grande Ronde,exact_identifier,False,Exact BSR identifier
UGR9,Upper Grande Ronde,exact_identifier,False,Exact BSR identifier
