bsr,basin,species_life_stage_count,population_priority_total,impact_normalization_denominator,risk_normalization_denominator,condition_improvement_normalization_denominator,amelioration_normalization_denominator,benefit_normalization_denominator
CC1,Catherine Creek,10,2.9899999999999998,150,44.849999999999994,36.72,367.2,109.79279999999999
CC2,Catherine Creek,10,2.9899999999999998,150,44.849999999999994,36.72,367.2,109.79279999999999
CC3,Catherine Creek,10,2.9899999999999998,150,44.849999999999994,36.72,367.2,109.79279999999999
CC4,Catherine Creek,10,2.9899999999999998,150,44.849999999999994,36.72,367.2,109.79279999999999
CC5,Catherine Creek,10,2.9899999999999998,150,44.849999999999994,36.72,367.2,109.79279999999999
CC6,Catherine Creek,10,2.9899999999999998,150,44.849999999999994,36.72,367.2,109.79279999999999
CC7,Catherine Creek,10,2.9899999999999998,150,44.849999999999994,36.72,367.2,109.79279999999999
CC8,Catherine Creek,10,2.9899999999999998,150,44.849999999999994,36.72,367.2,109.79279999999999
CC9,Catherine Creek,10,2.9899999999999998,150,44.849999999999994,36.72,367.2,109.79279999999999
UGR1,Upper Grande Ronde,10,3.0,150,45.0,36.72,367.2,110.16
UGR10,Upper Grande Ronde,10,3.0,150,45.0,36.72,367.2,110.16
UGR11,Upper Grande Ronde,10,3.0,150,45.0,36.72,367.2,110.16
UGR12,Upper Grande Ronde,10,3.0,150,45.0,36.72,367.2,110.16
UGR13,Upper Grande Ronde,10,3.0,150,45.0,36.72,367.2,110.16
UGR14,Upper Grande Ronde,10,3.0,150,45.0,36.72,367.2,110.16
UGR15,Upper Grande Ronde,10,3.0,150,45.0,36.72,367.2,110.16
UGR16,Upper Grande Ronde,10,3.0,150,45.0,36.72,367.2,110.16
UGR17,Upper Grande Ronde,10,3.0,150,45.0,36.72,367.2,110.16
UGR18,Upper Grande Ronde,10,3.0,150,45.0,36.72,367.2,110.16
UGR19,Upper Grande Ronde,10,3.0,150,45.0,36.72,367.2,110.16
UGR2,Upper Grande Ronde,10,3.0,150,45.0,36.72,367.2,110.16
UGR20,Upper Grande Ronde,10,3.0,150,45.0,36.72,367.2,110.16
UGR3,Upper Grande Ronde,10,3.0,150,45.0,36.72,367.2,110.16
UGR4,Upper Grande Ronde,10,3.0,150,45.0,36.72,367.2,110.16
UGR5,Upper Grande Ronde,10,3.0,150,45.0,36.72,367.2,110.16
UGR6,Upper Grande Ronde,10,3.0,150,45.0,36.72,367.2,110.16
UGR7,Upper Grande Ronde,10,3.0,150,45.0,36.72,367.2,110.16
UGR8,Upper Grande Ronde,10,3.0,150,45.0,36.72,367.2,110.16
UGR9,Upper Grande Ronde,10,3.0,150,45.0,36.72,367.2,110.16
