bsr,basin,overall_impact_score,overall_risk_score,lf_sum_impact_score,lf_sum_risk_score,fish_use_score,fish_use_score_variants,highest_risk_species_life_stage,top_species_life_stage_risk_score,top_species_life_stage_risk_tie_count,highest_risk_limiting_factor,top_limiting_factor_risk_score,top_limiting_factor_risk_tie_count,impact_balance_difference,risk_balance_difference,highest_risk_aligned_action_type,highest_action_benefit_score,top_action_benefit_tie_count,overall_condition_improvement_score,overall_limiting_factor_amelioration_score,overall_benefit_score
CC1,Catherine Creek,30.70732146987703,14.687859487575194,30.70732146987703,14.687859487575194,0.4162,1,Chinook | Migration,5.135088342831696,1,Decreased Water Quantity,1.5238928572719999,1,0.0,0.0,3 | Floodplain – Reconnect and Restore,6.386399646263143,1,31.7679075,78.10353834230779,36.46734898020851
CC2,Catherine Creek,18.92261653278844,9.137593765135257,18.92261653278844,9.137593765135257,0.2803,1,Bull Trout | FMO,2.4421766785026753,1,Channel and Habitat Structure,0.9605135525879647,1,0.0,0.0,3 | Floodplain – Reconnect and Restore,3.9525922226006585,1,28.71045,47.31495578226164,22.490905543610598
CC3,Catherine Creek,8.436165637499968,3.7104453455457658,8.436165637499968,3.7104453455457653,0.1722,1,Steelhead | Winter Rearing,0.86851808035425,1,Channel and Habitat Structure,0.36850847768372313,1,0.0,4.440892098500626e-16,3 | Floodplain – Reconnect and Restore,1.726183957335232,1,20.7309825,20.639689929224755,9.053619877588156
CC4,Catherine Creek,13.54990078908725,5.364298845451754,13.54990078908725,5.364298845451754,0.2532,1,Steelhead | Summer Rearing,1.396265598179959,1,Channel and Habitat Structure,0.673958647230872,1,0.0,0.0,3 | Floodplain – Reconnect and Restore,2.7527576336386357,1,22.841775000000002,34.82753349873014,13.95551413732011
CC5,Catherine Creek,25.582321299179153,10.58597610332222,25.582321299179153,10.58597610332222,0.4663,1,Bull Trout | FMO,1.9866095357465703,1,Channel and Habitat Structure,1.2241227231930574,1,0.0,0.0,3 | Floodplain – Reconnect and Restore,5.052468912389211,1,23.16708,64.99706601879961,26.823203663134738
CC6,Catherine Creek,29.65714473331182,11.761947128197555,29.65714473331182,11.761947128197555,0.6329,1,Bull Trout | FMO,2.46530198585268,1,Decreased Water Quantity,1.3963724795604278,1,0.0,0.0,3 | Floodplain – Reconnect and Restore,5.690695145492255,1,20.0631825,75.6068666054624,30.047719553311726
CC7,Catherine Creek,30.10731964333075,11.786102449196443,30.10731964333075,11.786102449196443,1.0,1,Bull Trout | Spawning & Resident,4.042713889503234,1,Summer Water Temperature,1.8383337696210986,1,0.0,0.0,3 | Floodplain – Reconnect and Restore,5.819954082863734,1,12.853552500000001,76.48544057178312,30.224752801863215
CC8,Catherine Creek,5.057723981278553,2.015867469648863,5.057723981278553,2.015867469648863,0.2235,1,Steelhead | Spawning,0.6271755000089438,1,Side Channel and Wetland Habitat,0.23291357586338976,1,0.0,0.0,3 | Floodplain – Reconnect and Restore,1.0996276659272801,1,9.907065,13.25528259189363,5.320927255637835
CC9,Catherine Creek,12.013781776939517,4.888041695251021,12.013781776939517,4.888041695251021,0.9056,1,Bull Trout | Spawning & Resident,2.897145385625664,1,Decreased Sediment Quantity,0.5725228201026263,1,0.0,0.0,3 | Floodplain – Reconnect and Restore,2.548406554253658,1,5.8356675000000005,30.862625997767147,12.369678083999485
UGR1,Upper Grande Ronde,15.854618074345229,6.10252410896139,15.854618074345229,6.10252410896139,0.9101,1,Bull Trout | Spawning & Resident,2.307204771397317,1,Predation,0.8764026809917671,1,0.0,0.0,3 | Floodplain – Reconnect and Restore,2.8062788616355494,1,7.063335,37.96071668839938,14.597048769560077
