bsr,basin,bsr_crosswalk_status,species,life_stage,LS_corrected_score_source,species_aggregate_score,fish_use_score,LS_corrected_score
CC1,Catherine Creek,provisional_positional,Chinook,Spawning,0.0,0.77,0.4162,0.0
CC1,Catherine Creek,provisional_positional,Chinook,Winter Rearing,0.9,0.77,0.4162,0.25069637883008355
CC1,Catherine Creek,provisional_positional,Chinook,Summer Rearing,0.0,0.77,0.4162,0.0
CC1,Catherine Creek,provisional_positional,Chinook,Migration,1.92,0.77,0.4162,0.5348189415041783
CC1,Catherine Creek,provisional_positional,Steelhead,Spawning,0.0,0.58,0.4162,0.0
CC1,Catherine Creek,provisional_positional,Steelhead,Winter Rearing,0.37,0.58,0.4162,0.10306406685236769
CC1,Catherine Creek,provisional_positional,Steelhead,Summer Rearing,0.0,0.58,0.4162,0.0
CC1,Catherine Creek,provisional_positional,Steelhead,Migration,1.94,0.58,0.4162,0.5403899721448469
CC1,Catherine Creek,provisional_positional,Bull Trout,Spawning & Resident,0.0,0.37,0.4162,0.0
CC1,Catherine Creek,provisional_positional,Bull Trout,FMO,0.93,0.37,0.4162,0.2590529247910864
CC2,Catherine Creek,provisional_positional,Chinook,Spawning,0.0,0.46,0.2803,0.0
CC2,Catherine Creek,provisional_positional,Chinook,Winter Rearing,0.9,0.46,0.2803,0.25069637883008355
CC2,Catherine Creek,provisional_positional,Chinook,Summer Rearing,0.0,0.46,0.2803,0.0
CC2,Catherine Creek,provisional_positional,Chinook,Migration,0.88,0.46,0.2803,0.24512534818941506
CC2,Catherine Creek,provisional_positional,Steelhead,Spawning,0.0,0.33,0.2803,0.0
CC2,Catherine Creek,provisional_positional,Steelhead,Winter Rearing,0.37,0.33,0.2803,0.10306406685236769
CC2,Catherine Creek,provisional_positional,Steelhead,Summer Rearing,0.0,0.33,0.2803,0.0
CC2,Catherine Creek,provisional_positional,Steelhead,Migration,0.96,0.33,0.2803,0.26740947075208915
CC2,Catherine Creek,provisional_positional,Bull Trout,Spawning & Resident,0.0,0.37,0.2803,0.0
CC2,Catherine Creek,provisional_positional,Bull Trout,FMO,0.93,0.37,0.2803,0.2590529247910864
CC3,Catherine Creek,provisional_positional,Chinook,Spawning,0.0,0.12,0.1722,0.0
CC3,Catherine Creek,provisional_positional,Chinook,Winter Rearing,0.3,0.12,0.1722,0.08356545961002786
CC3,Catherine Creek,provisional_positional,Chinook,Summer Rearing,0.0,0.12,0.1722,0.0
CC3,Catherine Creek,provisional_positional,Chinook,Migration,0.2,0.12,0.1722,0.05571030640668524
CC3,Catherine Creek,provisional_positional,Steelhead,Spawning,0.71,0.59,0.1722,0.1977715877437326
CC3,Catherine Creek,provisional_positional,Steelhead,Winter Rearing,0.75,0.59,0.1722,0.20891364902506965
CC3,Catherine Creek,provisional_positional,Steelhead,Summer Rearing,0.35,0.59,0.1722,0.09749303621169916
CC3,Catherine Creek,provisional_positional,Steelhead,Migration,0.54,0.59,0.1722,0.15041782729805014
CC3,Catherine Creek,provisional_positional,Bull Trout,Spawning & Resident,0.0,0.0,0.1722,0.0
CC3,Catherine Creek,provisional_positional,Bull Trout,FMO,0.0,0.0,0.1722,0.0
CC4,Catherine Creek,provisional_positional,Chinook,Spawning,0.0,0.3,0.2532,0.0
CC4,Catherine Creek,provisional_positional,Chinook,Winter Rearing,0.3,0.3,0.2532,0.08356545961002786
CC4,Catherine Creek,provisional_positional,Chinook,Summer Rearing,0.5,0.3,0.2532,0.1392757660167131
CC4,Catherine Creek,provisional_positional,Chinook,Migration,0.2,0.3,0.2532,0.05571030640668524
CC4,Catherine Creek,provisional_positional,Steelhead,Spawning,1.06,0.75,0.2532,0.2952646239554318
CC4,Catherine Creek,provisional_positional,Steelhead,Winter Rearing,0.75,0.75,0.2532,0.20891364902506965
CC4,Catherine Creek,provisional_positional,Steelhead,Summer Rearing,1.06,0.75,0.2532,0.2952646239554318
CC4,Catherine Creek,provisional_positional,Steelhead,Migration,0.11,0.75,0.2532,0.030640668523676882
CC4,Catherine Creek,provisional_positional,Bull Trout,Spawning & Resident,0.0,0.0,0.2532,0.0
CC4,Catherine Creek,provisional_positional,Bull Trout,FMO,0.0,0.0,0.2532,0.0
