bsr,basin,species,life_stage,LS_corrected_score_source,LS_corrected_score,species_aggregate_score,fish_use_score,population_priority,condition_vulnerability_sum,vulnerability_review_flag,impact_score,risk_score,risk_rank_within_bsr,species_life_stage_label
CC1,Catherine Creek,Bull Trout,FMO,0.93,0.2590529247910864,0.37,0.4162,0.4,6.585797303571428,Yes,1.7060700535714286,0.6824280214285715,3,Bull Trout | FMO
CC1,Catherine Creek,Bull Trout,Spawning & Resident,0.0,0.0,0.37,0.4162,0.6,6.336396857142857,Yes,0.0,0.0,6,Bull Trout | Spawning & Resident
CC1,Catherine Creek,Chinook,Migration,1.92,0.5348189415041783,0.77,0.4162,0.3,8.396758339285714,No,4.490745407083168,1.3472236221249503,1,Chinook | Migration
CC1,Catherine Creek,Chinook,Spawning,0.0,0.0,0.77,0.4162,0.12,6.3607243392857145,No,0.0,0.0,6,Chinook | Spawning
CC1,Catherine Creek,Chinook,Summer Rearing,0.0,0.0,0.77,0.4162,0.21,6.553769035714286,No,0.0,0.0,6,Chinook | Summer Rearing
CC1,Catherine Creek,Chinook,Winter Rearing,0.9,0.25069637883008355,0.77,0.4162,0.36,6.144738160714286,No,1.5404636057500993,0.5545668980700358,4,Chinook | Winter Rearing
CC1,Catherine Creek,Steelhead,Migration,1.94,0.5403899721448469,0.58,0.4162,0.25,7.612607625,No,4.113776822423398,1.0284442056058496,2,Steelhead | Migration
CC1,Catherine Creek,Steelhead,Spawning,0.0,0.0,0.58,0.4162,0.25,6.319070089285715,No,0.0,0.0,6,Steelhead | Spawning
CC1,Catherine Creek,Steelhead,Summer Rearing,0.0,0.0,0.58,0.4162,0.25,6.479386446428571,No,0.0,0.0,6,Steelhead | Summer Rearing
CC1,Catherine Creek,Steelhead,Winter Rearing,0.37,0.10306406685236769,0.58,0.4162,0.25,6.475011,No,0.6673409665738161,0.16683524164345404,5,Steelhead | Winter Rearing
CC2,Catherine Creek,Bull Trout,FMO,0.93,0.2590529247910864,0.37,0.2803,0.4,5.892291696428571,Yes,1.5264153976820534,0.6105661590728214,1,Bull Trout | FMO
CC2,Catherine Creek,Bull Trout,Spawning & Resident,0.0,0.0,0.37,0.2803,0.6,5.472073821428571,Yes,0.0,0.0,6,Bull Trout | Spawning & Resident
CC2,Catherine Creek,Chinook,Migration,0.88,0.24512534818941506,0.46,0.2803,0.3,7.695901982142856,No,1.886460653004377,0.5659381959013131,2,Chinook | Migration
CC2,Catherine Creek,Chinook,Spawning,0.0,0.0,0.46,0.2803,0.12,5.536480392857142,No,0.0,0.0,6,Chinook | Spawning
CC2,Catherine Creek,Chinook,Summer Rearing,0.0,0.0,0.46,0.2803,0.21,5.848012178571428,No,0.0,0.0,6,Chinook | Summer Rearing
CC2,Catherine Creek,Chinook,Winter Rearing,0.9,0.25069637883008355,0.46,0.2803,0.36,5.5658692499999995,No,1.3953432660167129,0.5023235757660166,3,Chinook | Winter Rearing
CC2,Catherine Creek,Steelhead,Migration,0.96,0.26740947075208915,0.33,0.2803,0.25,7.248310607142857,No,1.9382669033028253,0.4845667258257063,4,Steelhead | Migration
CC2,Catherine Creek,Steelhead,Spawning,0.0,0.0,0.33,0.2803,0.25,5.632740214285715,No,0.0,0.0,6,Steelhead | Spawning
CC2,Catherine Creek,Steelhead,Summer Rearing,0.0,0.0,0.33,0.2803,0.25,6.009203625,No,0.0,0.0,6,Steelhead | Summer Rearing
CC2,Catherine Creek,Steelhead,Winter Rearing,0.37,0.10306406685236769,0.33,0.2803,0.25,5.903142803571428,No,0.6084019045463589,0.15210047613658972,5,Steelhead | Winter Rearing
CC3,Catherine Creek,Bull Trout,FMO,0.0,0.0,0.0,0.1722,0.4,4.006773053571428,Yes,0.0,0.0,7,Bull Trout | FMO
CC3,Catherine Creek,Bull Trout,Spawning & Resident,0.0,0.0,0.0,0.1722,0.6,3.8543325,Yes,0.0,0.0,7,Bull Trout | Spawning & Resident
CC3,Catherine Creek,Chinook,Migration,0.2,0.05571030640668524,0.12,0.1722,0.3,5.328034124999999,No,0.29682641364902507,0.08904792409470752,6,Chinook | Migration
CC3,Catherine Creek,Chinook,Spawning,0.0,0.0,0.12,0.1722,0.12,4.037226160714286,No,0.0,0.0,7,Chinook | Spawning
CC3,Catherine Creek,Chinook,Summer Rearing,0.0,0.0,0.12,0.1722,0.21,4.030400464285714,No,0.0,0.0,7,Chinook | Summer Rearing
