bsr,basin,limiting_factor,fish_use_score,condition_score_raw_1_5,condition_score_source,condition_score,condition_rating_n,condition_review_flag,vulnerability_review_flag,fish_vulnerability_sum,population_weighted_fish_vulnerability_sum,impact_score,risk_score,risk_rank_within_bsr
CC1,Catherine Creek,Altered Flow Timing,0.4162,4.31,0.84475,0.8292249999999999,3,False,Yes,0.9984102666136093,0.2862263231197772,0.82790675333267,0.23734602278899722,10
CC1,Catherine Creek,Altered Primary Productivity,0.4162,4.31,0.84475,0.8292249999999999,3,False,No,0.5561997612415439,0.16353014325507362,0.4612147470155192,0.1356032830406884,14
CC1,Catherine Creek,Anthropogenic Barriers,0.4162,3.68,0.703,0.6733,3,False,No,1.2883585356148033,0.38252775567051334,0.867451802029447,0.2575559378929566,8
CC1,Catherine Creek,Channel and Habitat Structure,0.4162,4.57,0.90325,0.8935750000000001,5,False,No,1.3972861122164744,0.4304716474333466,1.2485799377238362,0.38465870235525274,2
CC1,Catherine Creek,Decreased Sediment Quantity,0.4162,2.95,0.53875,0.49262500000000004,5,True,Yes,0.689158376442499,0.20773149621965778,0.33949664519498607,0.10233372832520891,15
CC1,Catherine Creek,Decreased Water Quantity,0.4162,5.0,1.0,1.0,3,False,Yes,1.3699064862713888,0.41541285316354953,1.3699064862713888,0.41541285316354953,1
CC1,Catherine Creek,Floodplain Condition,0.4162,4.78,0.9505,0.9455500000000001,5,False,No,1.068533625149224,0.3210713290887386,1.0103519692598488,0.3035889952198568,5
CC1,Catherine Creek,Increased Sediment Quantity,0.4162,4.51,0.88975,0.878725,5,False,No,0.5922463191404695,0.17484639872662158,0.5204216467867091,0.15364190172105055,13
CC1,Catherine Creek,Non-Native Species Interactions and Competition,0.4162,4.64,0.919,0.9108999999999999,3,False,No,0.6083983286908078,0.1858573418225229,0.5541900376044567,0.16929745266613608,11
CC1,Catherine Creek,Predation,0.4162,4.22,0.8245,0.80695,3,False,Yes,1.3043135694389179,0.383266414643852,1.0525158348587347,0.30927683329685635,4
CC1,Catherine Creek,Riparian Condition,0.4162,4.57,0.90325,0.8935750000000001,5,False,Yes,0.9651213688818145,0.2985865499403104,0.8624083271985675,0.2668094763629129,7
CC1,Catherine Creek,Side Channel and Wetland Habitat,0.4162,4.08,0.793,0.7723,5,True,No,1.2828432152805411,0.3794056904098687,0.9907398151611619,0.2930150147035416,6
CC1,Catherine Creek,Summer Water Temperature,0.4162,4.64,0.919,0.9108999999999999,3,False,Yes,0.8028133704735376,0.26657799442896934,0.7312826991643454,0.24282589512534816,9
CC1,Catherine Creek,Water Quality,0.4162,5.0,1.0,1.0,3,False,No,1.1494906486271388,0.3475448666931954,1.1494906486271388,0.3475448666931954,3
CC1,Catherine Creek,Winter Water Temperature,0.4162,3.91,0.75475,0.730225,3,False,No,0.7291444488658974,0.2199144448865897,0.5324395051730999,0.16058702551730997,12
CC2,Catherine Creek,Altered Flow Timing,0.2803,4.31,0.84475,0.8292249999999999,3,False,Yes,0.5551034619976124,0.16398776362912854,0.4603056682749701,0.13598275329536408,9
CC2,Catherine Creek,Altered Primary Productivity,0.2803,4.31,0.84475,0.8292249999999999,3,False,No,0.35162753680859526,0.10712087146836449,0.29157834421010737,0.08882730464335453,14
CC2,Catherine Creek,Anthropogenic Barriers,0.2803,4.64,0.919,0.9108999999999999,3,False,No,0.7461699164345404,0.23352019498607246,0.6796861768802228,0.2127135456128134,5
CC2,Catherine Creek,Channel and Habitat Structure,0.2803,4.37,0.85825,0.844075,5,False,No,0.9527974532431357,0.3069133505769996,0.8042325103461998,0.2590578863882809,1
CC2,Catherine Creek,Decreased Sediment Quantity,0.2803,2.49,0.43525,0.3787750000000001,5,True,Yes,0.4664643851969757,0.14781605650616791,0.1766850475029845,0.055989026803123766,15
CC2,Catherine Creek,Decreased Water Quantity,0.2803,4.31,0.84475,0.8292249999999999,3,False,Yes,0.866325109430959,0.27605710306406683,0.7183784388678869,0.2289134512883008,2
CC2,Catherine Creek,Floodplain Condition,0.2803,3.95,0.76375,0.740125,5,False,No,0.7048050139275766,0.2207758654994031,0.5216438109331476,0.16340173745274572,7
CC2,Catherine Creek,Increased Sediment Quantity,0.2803,4.32,0.847,0.8317000000000001,5,False,No,0.3683704735376045,0.11361122164743336,0.3063737228412257,0.09449045304417034,12
CC2,Catherine Creek,Non-Native Species Interactions and Competition,0.2803,3.91,0.75475,0.730225,3,False,No,0.382158774373259,0.12198269001193793,0.2790618910167131,0.08907480981396737,13
CC2,Catherine Creek,Predation,0.2803,4.22,0.8245,0.80695,3,False,Yes,0.7609430959013133,0.2329391165937127,0.6140430312375647,0.18797022013529643,6
CC2,Catherine Creek,Riparian Condition,0.2803,3.44,0.649,0.6139,5,False,Yes,0.6821528054118583,0.22155391961798648,0.4187736072423398,0.1360119512534819,8
CC2,Catherine Creek,Side Channel and Wetland Habitat,0.2803,4.37,0.85825,0.844075,5,False,No,0.8430819737365698,0.26112634301631515,0.7116244169816952,0.2204102179814962,3
CC2,Catherine Creek,Summer Water Temperature,0.2803,3.42,0.6445,0.60895,3,False,Yes,0.5103899721448468,0.1789874651810585,0.31080197353760447,0.10899441692200558,11
CC2,Catherine Creek,Water Quality,0.2803,4.64,0.919,0.9108999999999999,3,False,No,0.7459729407083168,0.23627785515320335,0.6795067516912057,0.2152254982590529,4
CC2,Catherine Creek,Winter Water Temperature,0.2803,3.91,0.75475,0.730225,3,False,No,0.5233903700756068,0.16218543573418223,0.38219273298846,0.11843185980899322,10
CC3,Catherine Creek,Altered Flow Timing,0.1722,3.63,0.69175,0.660925,3,False,Yes,0.43498209311579783,0.11233207321925984,0.2874905398925587,0.0742430754924393,6
CC3,Catherine Creek,Altered Primary Productivity,0.1722,3.3,0.6175,0.5792499999999999,3,False,No,0.27818941504178274,0.07260206923995224,0.16114121866295264,0.042054748607242336,13
CC3,Catherine Creek,Anthropogenic Barriers,0.1722,3.63,0.69175,0.660925,3,False,No,0.3183724631914047,0.08292359729407084,0.21042032023477916,0.05480627854158377,7
CC3,Catherine Creek,Channel and Habitat Structure,0.1722,2.93,0.53425,0.487675,5,False,No,0.7148846000795861,0.1903049144448866,0.3486313473438122,0.09280694915191007,1
CC3,Catherine Creek,Decreased Sediment Quantity,0.1722,2.86,0.5185,0.47035,5,True,Yes,0.37510147234381214,0.10183326701153998,0.17642897751691203,0.04789727713887783,11
CC3,Catherine Creek,Decreased Water Quantity,0.1722,3.63,0.69175,0.660925,3,False,Yes,0.4932869080779944,0.12990230799840827,0.32602564972144843,0.08585568291384799,2
CC3,Catherine Creek,Floodplain Condition,0.1722,2.35,0.40375,0.344125,5,False,No,0.5561221647433346,0.14742329884600078,0.19137553994230005,0.05073204271538002,8
CC3,Catherine Creek,Increased Sediment Quantity,0.1722,3.73,0.71425,0.685675,5,False,No,0.23918822124950262,0.06545185037803422,0.1640053836052527,0.044878697507958615,12
CC3,Catherine Creek,Non-Native Species Interactions and Competition,0.1722,2.62,0.4645,0.41095000000000004,3,False,No,0.18955033824114603,0.050836251492240345,0.07789571150019897,0.020891157550736172,15
CC3,Catherine Creek,Predation,0.1722,2.88,0.523,0.4753,3,False,Yes,0.3969657779546359,0.10471896140071627,0.18867783426183843,0.04977292235376044,9
CC3,Catherine Creek,Riparian Condition,0.1722,2.49,0.43525,0.3787750000000001,5,True,Yes,0.491908077994429,0.13012883008356546,0.18632248224233988,0.04928954761490252,10
CC3,Catherine Creek,Side Channel and Wetland Habitat,0.1722,2.72,0.487,0.43570000000000003,5,True,No,0.6942021488261043,0.18304635893354557,0.30246387624353366,0.07975329858734581,4
CC3,Catherine Creek,Summer Water Temperature,0.1722,3.17,0.58825,0.547075,3,False,Yes,0.21555113410266613,0.056765220851571825,0.11792263668921607,0.031054833197373656,14
CC3,Catherine Creek,Water Quality,0.1722,3.3,0.6175,0.5792499999999999,3,False,No,0.49387783525666534,0.1307591524074811,0.28607873607242335,0.07574223903203342,5
CC3,Catherine Creek,Winter Water Temperature,0.1722,3.56,0.676,0.6436000000000001,3,False,No,0.46964982093115804,0.12716434540389973,0.30226662475129334,0.08184297270194987,3
CC4,Catherine Creek,Altered Flow Timing,0.2532,2.88,0.523,0.4753,3,False,Yes,0.6075288499801035,0.15186748905690411,0.2887584623955432,0.07218261754874652,10
CC4,Catherine Creek,Altered Primary Productivity,0.2532,2.52,0.442,0.3862,3,False,No,0.4196140071627537,0.10514484679665739,0.16205492956625547,0.04060693983286908,13
CC4,Catherine Creek,Anthropogenic Barriers,0.2532,4.64,0.919,0.9108999999999999,3,False,No,0.46353959411062484,0.11600805809789098,0.4222382162753681,0.10567174012136889,5
CC4,Catherine Creek,Channel and Habitat Structure,0.2532,3.73,0.71425,0.685675,5,False,No,1.0158595304417033,0.26076551929964187,0.696549483535615,0.17880039744578194,1
CC4,Catherine Creek,Decreased Sediment Quantity,0.2532,3.18,0.5905,0.5495500000000001,5,False,Yes,0.45231197771587744,0.11989832869080781,0.24856804735376048,0.06589012653203344,11
CC4,Catherine Creek,Decreased Water Quantity,0.2532,3.63,0.69175,0.660925,3,False,Yes,0.7040469558296857,0.17741524074810983,0.465322234281735,0.11725816799144448,3
CC4,Catherine Creek,Floodplain Condition,0.2532,3.44,0.649,0.6139,5,False,No,0.6709550338241146,0.17410604854755274,0.41189929526462393,0.10688370320334263,4
CC4,Catherine Creek,Increased Sediment Quantity,0.2532,3.78,0.7255,0.69805,5,False,No,0.24982093115797854,0.06766036609629925,0.17438750099482692,0.04723031855352169,12
CC4,Catherine Creek,Non-Native Species Interactions and Competition,0.2532,1.59,0.23275,0.15602500000000002,3,False,No,0.24706327099084757,0.06358296856346995,0.038548046856346996,0.009920532670115402,15
CC4,Catherine Creek,Predation,0.2532,1.82,0.2845,0.21295000000000003,3,False,Yes,0.4142956625547155,0.10820781933943494,0.08822426134102668,0.023042855128332672,14
CC4,Catherine Creek,Riparian Condition,0.2532,3.31,0.61975,0.581725,5,True,Yes,0.6646518105849583,0.16931953840031835,0.38664457451253487,0.0984974084759252,6
CC4,Catherine Creek,Side Channel and Wetland Habitat,0.2532,3.73,0.71425,0.685675,5,False,No,0.9305690409868684,0.2377489056904099,0.638067927178671,0.16301848090927182,2
CC4,Catherine Creek,Summer Water Temperature,0.2532,3.63,0.69175,0.660925,3,False,Yes,0.5799522483087943,0.14229446876243534,0.3833049397134899,0.09404597176681258,8
CC4,Catherine Creek,Water Quality,0.2532,3.3,0.6175,0.5792499999999999,3,False,No,0.6455451651412655,0.16625656585754078,0.37393203690807797,0.09630411577298048,7
CC4,Catherine Creek,Winter Water Temperature,0.2532,3.56,0.676,0.6436000000000001,3,False,No,0.4940708316752886,0.1332138877835257,0.31798398726621574,0.08573645817747715,9
CC5,Catherine Creek,Altered Flow Timing,0.4663,2.88,0.523,0.4753,3,False,Yes,1.0141126144050934,0.2621618981297254,0.4820077256267409,0.12460555018105848,12
CC5,Catherine Creek,Altered Primary Productivity,0.4663,2.71,0.48475,0.43322499999999997,3,True,No,0.621933943493832,0.1670541384799045,0.2694373326701154,0.07237202914295662,14
CC5,Catherine Creek,Anthropogenic Barriers,0.4663,3.91,0.75475,0.730225,3,False,No,1.0450378034222045,0.302008117787505,0.7631127300039793,0.22053387781138087,4
CC5,Catherine Creek,Channel and Habitat Structure,0.4663,3.81,0.73225,0.705475,5,False,No,1.6753601273378431,0.4591533824114604,1.1819246858336647,0.32392123245672505,1
CC5,Catherine Creek,Decreased Sediment Quantity,0.4663,3.44,0.649,0.6139,5,False,Yes,0.864017111022682,0.22186066454436926,0.5304201044568244,0.1362002619637883,10
CC5,Catherine Creek,Decreased Water Quantity,0.4663,3.63,0.69175,0.660925,3,False,Yes,1.5047791484281736,0.40082886987664146,0.9945461586748906,0.26491782082321924,2
CC5,Catherine Creek,Floodplain Condition,0.4663,3.64,0.694,0.6634,5,False,No,1.1356466374850775,0.30743282928770393,0.7533879793076005,0.20395093894946278,7
CC5,Catherine Creek,Increased Sediment Quantity,0.4663,3.37,0.63325,0.5965750000000001,5,False,No,0.5167489056904099,0.1421524671707123,0.30827947841225634,0.0848046081023677,13
CC5,Catherine Creek,Non-Native Species Interactions and Competition,0.4663,1.59,0.23275,0.15602500000000002,3,False,No,0.55791683247115,0.15695519299641864,0.08704897378631118,0.02448893398726622,15
CC5,Catherine Creek,Predation,0.4663,3.68,0.703,0.6733,3,False,Yes,0.9770811778750498,0.2741892359729407,0.657868757063271,0.18461161258058098,8
CC5,Catherine Creek,Riparian Condition,0.4663,3.78,0.7255,0.69805,5,False,Yes,1.0984182252288102,0.3137340827695981,0.7667508421209709,0.21900207647731793,5
CC5,Catherine Creek,Side Channel and Wetland Habitat,0.4663,3.48,0.658,0.6238,5,False,No,1.468141663350577,0.39341864305610824,0.91582676959809,0.24541454953840033,3
CC5,Catherine Creek,Summer Water Temperature,0.4663,3.56,0.676,0.6436000000000001,3,False,Yes,1.264074810982889,0.32991563867886986,0.8135585483485874,0.21233370505372065,6
CC5,Catherine Creek,Water Quality,0.4663,2.88,0.523,0.4753,3,False,No,1.1640111420612813,0.3227673895742141,0.553254495821727,0.15341134026462394,9
CC5,Catherine Creek,Winter Water Temperature,0.4663,3.42,0.6445,0.60895,3,False,No,0.7913330680461599,0.2081885793871866,0.48188227178670906,0.12677643541782727,11
CC6,Catherine Creek,Altered Flow Timing,0.6329,3.11,0.57475,0.532225,3,False,Yes,1.3305372065260643,0.3222459808993235,0.7081451647433346,0.17150736718414242,9
CC6,Catherine Creek,Altered Primary Productivity,0.6329,2.88,0.523,0.4753,3,False,No,0.8796597692001592,0.22800688420214882,0.4181022883008357,0.10837167206128133,13
CC6,Catherine Creek,Anthropogenic Barriers,0.6329,2.71,0.48475,0.43322499999999997,3,False,No,1.3049303621169916,0.37826587743732587,0.5653284561281336,0.16387423475278548,10
CC6,Catherine Creek,Channel and Habitat Structure,0.6329,3.03,0.55675,0.5124249999999999,5,True,No,2.34358336649423,0.5957861719060883,1.2009107065758056,0.30529572913897723,2
CC6,Catherine Creek,Decreased Sediment Quantity,0.6329,3.29,0.61525,0.576775,5,False,Yes,1.2452467170712294,0.2711780541185833,0.7182271752387583,0.1564087221642459,11
CC6,Catherine Creek,Decreased Water Quantity,0.6329,3.63,0.69175,0.660925,3,False,Yes,2.254550338241146,0.5483563867886987,1.4900886823020292,0.36242244493832065,1
CC6,Catherine Creek,Floodplain Condition,0.6329,2.83,0.51175,0.46292500000000003,5,False,No,1.5974393155590925,0.39267071229606043,0.7394945951551929,0.1817770894896538,7
CC6,Catherine Creek,Increased Sediment Quantity,0.6329,3.1,0.5725,0.52975,5,False,No,0.6501830481496219,0.16001283326701154,0.3444344697572622,0.08476679842319937,14
CC6,Catherine Creek,Non-Native Species Interactions and Competition,0.6329,1.44,0.199,0.11889999999999998,3,False,No,0.7963390370075605,0.2089376641464385,0.09468471150019893,0.024842688267011533,15
CC6,Catherine Creek,Predation,0.6329,2.29,0.39025,0.32927500000000004,3,False,Yes,1.3277795463589335,0.3467044568245125,0.43720461012733786,0.11416111002089137,12
CC6,Catherine Creek,Riparian Condition,0.6329,2.86,0.5185,0.47035,5,True,Yes,1.4467528849980102,0.4015070433744528,0.6804802194588141,0.18884883785117387,6
CC6,Catherine Creek,Side Channel and Wetland Habitat,0.6329,2.99,0.54775,0.502525,5,True,No,2.0197552725825707,0.5041057898925587,1.0149775183545564,0.2533257620657581,4
CC6,Catherine Creek,Summer Water Temperature,0.6329,3.56,0.676,0.6436000000000001,3,False,Yes,1.9943454038997213,0.4695306406685237,1.2835607019498607,0.3021899203342619,3
CC6,Catherine Creek,Water Quality,0.6329,2.88,0.523,0.4753,3,False,No,1.6393951452447273,0.42270163151611617,0.7792045125348189,0.20091008545961,5
CC6,Catherine Creek,Winter Water Temperature,0.6329,3.42,0.6445,0.60895,3,False,No,1.2675049741345004,0.28345555113410265,0.771847153999204,0.1726102578631118,8
CC7,Catherine Creek,Altered Flow Timing,1.0,3.11,0.57475,0.532225,3,False,Yes,1.481032630322324,0.3929254476721051,0.7882425916732988,0.2091247463872861,4
CC7,Catherine Creek,Altered Primary Productivity,1.0,1.82,0.2845,0.21295000000000003,3,False,No,0.9273338639076801,0.25772524870672503,0.1974757463191405,0.054882591712097105,14
CC7,Catherine Creek,Anthropogenic Barriers,1.0,1.44,0.199,0.11889999999999998,3,False,No,1.4552288101870277,0.4982877636291285,0.17302670553123756,0.05924641509550337,13
CC7,Catherine Creek,Channel and Habitat Structure,1.0,1.64,0.244,0.1684,5,False,No,3.0367469160366096,0.9680551730998807,0.511388180660565,0.1630204911500199,7
CC7,Catherine Creek,Decreased Sediment Quantity,1.0,2.61,0.46225,0.408475,5,True,Yes,1.8454377238360524,0.5887862912853163,0.7538151742439315,0.24050448033276958,3
CC7,Catherine Creek,Decreased Water Quantity,1.0,2.88,0.523,0.4753,3,False,Yes,2.588824114604059,0.7476019100676482,1.2304681016713093,0.35533518785515317,2
